PharmacyName,Address1,Suburb,Phone,Fax,ContactEmail,Treatment,,,,,,,Administer,OpeningHours,State,Postcode,ContactPerson,PreferredContactMethod,Notes,
"Wheatbelt Health Centre 
Pharmacy",5/25 Holtfreter Avenue,Northam,9622 7905,9622 7902,admin@wheatbeltpharmacy.com.au,M,B-N,B,V,D,,A,"Daniel 
O'Driscoll","6 DAYS M-F 8.30-5.30 
Sat 8.30-1",WA,6401,Mr Daniel O'Driscoll,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0405 684 658 Daniel O'Driscoll** 
Accept one-off dosing* Accept local and stable clients 21/10/19",
Chemist Discount Centre Northbridge,223 William Street,Northbridge,9328 7885,9328 8505,northbridge@cdcpharmacy.com.au,M,B-N,B,V,D,,A,"Christiana
Aniyi","7 DAYS M-F 6am-8pm 
Sat/Sun 9-5",WA,6003,Mrs Christiana Aniyi,Phone,"Approved for 100 clients.
Formerly ""Busy Bee Pharmacy""    *Accept one-offs dosing* 
",
Caring Pharmacy Northbridge,Shop 1 / 154-156 Newcastle St,Northbridge,9328 9447,9328 9441,northbridge@caringpharmacy.com.au,M,B-N,B,V,D,,A,Mr Eric Chim,6 DAYS M-F 8.30-7 Sat 9-4 ,WA,6003,Mr Eric Chim,Phone,Depot Admin M-F 9-4,
Ocean Reef Pharmacy,"Shop 3 Ocean Reef SC
81 Marina Boulevard",Ocean Reef,6116 8018,6323 1101,oceanreefpharmacy@gmail.com,M,B-N,B,,,,,,6 DAYS M-F 8-6 Sat 8-2,WA,6027,Rachel Morgan-Jones/Pieter Delhaas,Unknown,**EMERGENCY USE ONLY (not be given to clients) - 0400 014 741 Rachel Morgan-Jones*,
Osborne Park Pharmacy,207-209 Main Street,Osborne Park,9344 3655,9344 6036,opp@nunet.com.au,M,B-N,B,,,,,,"6 DAYS M-F 8.30-7 
Sat 8.30-5",WA,6017,Louis,Phone,**EMERGENCY USE ONLY (not be given to clients) - 0403 010 372 Louis Anastasas**,
Formula Pharmacy,"Unit 2, 369-375 Canning Hwy",Palmyra,9339 5158,9339 5164,formulapharmacy@outlook.com,M,,,,,,,,"6 DAYS M-W, Fri 8.30-6 Thu 8.30-8 Sat 8.30-6",WA,6157,Pheobee,Unknown,Program full - no new clients 1/1/19),
Paraburdoo Pharmacy,PO Box 12,Paraburdoo,6149 1348,9189 6761,paraburdoopharmacy@gmail.com,M,B-N,B,,,,,,6 DAYS M-F 9-5 Sat 9-1,WA,6754,Mr Seng Hoo Lu,{Not Stated},"Address: Shop 4 Paraburdoo SC, Ashburton Ave, Paraburdoo WA 6754",
Chisham Express Pharmacy,1 Chisham Ave,Parmelia,9419 3242,9419 2674,chishamave@frednet.com.au,M,B-N,,,,,,,"7 DAYS M-F 8.30-9
Sat-Sun 8.30-8",WA,6167,Dave/David/Matthew,Phone,"*Accept One-off dosing for well behaved clients* 
Formerly ""Chisham Avenue Dispensary"", ""Guardian Pharmacy Parmelia Chisham Ave""",
Greenleaf Pharmacy Pearsall,"Shop 1, 155 Willespie Drive",Pearsall,9206 5588,9206 5599,"pearsall@greenleaf.au
script.pearsall@greenleaf.au",M,B-N,B,V,D,,A,"Jamie 
Bogoias",7 DAYS 8-9,WA,6065,Jamie Bogoias,Phone,"Formerly Hocking Fullife Pharmacy, Pearsall Pharmacy",
Pemberton Pharmacy,48 Brockman Street,Pemberton,9776 1054,9776 0737,pembertonpharmacy@westnet.com.au,,,,,,BF,,,"7 DAYS M-F 9-5.30 
Sat 9-4 Sun 10.30-2",WA,6260,Helen Hamersley,{Not Stated},No further clients without approval through Community Pharmacotherapy Program,
"Chemist Discount Centre Perth 
CBD","Wesley Quarter
95 William Street",Perth,9321 5391,9321 5094,perth@cdcpharmacy.com.au,M,B-N,,,,,,,6 DAYS M-F 8-6 Sat 10-4,WA,6000,Jonathan Wong,Phone,"ONLY TAKE ONE-OFF CLIENTS 
EMERGENCY USE ONLY (not be given to clients) - 0430 521 616 Jonathan Wong** *formerly ""Friendlies Chemists Perth""",
Craven's Pharmacy,"Shop 2, 553 Hay Street",Perth,9325 4375,9325 7708,pharmacycravens@gmail.com,M,B-N,B,V,D,BF,A,"Poojah
Maru","6 DAYS M-F 7.30-5.30
Sat 8.30-5pm",WA,6000,Mr Ronald Stuurstraat,Phone,Not taking CPOP Clients (1/1/19),
Pharmacy 777 Perth City,"Lot 3 Gledden Bldg
731 Hay Street Mall",Perth,9321 6411,9321 1920,perthcity@pharmacy777.com.au,M,B-N,B,,,,,,6 DAYS M-F 7-6 Sat 9-5,WA,6000,Meahgan Liecester,Email,"*Please EMAIL scripts(Jun 2018)*. No dosing between 1100-1400hr. 
Open all PHs but only 0900-1200hrs. Not taking new patients. Formerly Fitch's Pharmacy",
Superchem Perth Central,Shop TR4 Raine Square SC,Perth,9321 4441,9322 5161,perth@superchem.com.au,M,B-N,B,,,,,,5 DAYS M-F 8-5.30,WA,6000,Ernest Pirone,Phone,"**DOSING hours 9am-4pm only** Superchem Raine Square closed since 4 May 2017.  
All clients transferred to here.  Same owner. In same shopping centre.",
Piara Waters Pharmacy,1/20 Riva Entrance,Piara Waters,9397 1282,6323 1030,admin@piarawaterspharmacy.com.au,M,B-N,B,,,BF,,,6 DAYS M-F 8-7 Sat 8-5,WA,6112,Paul Ngoo,{Not Stated},please email scripts,
TerryWhite Chemmart Pinjarra,PO Box 110,Pinjarra,9531 2436,9531 1892,pharmacist@twcmpinjarra.com.au,M,B-N,B,,,BF,,,"7 DAYS M-F 8-6 
Sat 8.30-5 Sun 8.30-1",WA,6208,Robert Pearson,{Not Stated},"**EMERGENCY USE ONLY (not be given to clients) - 0403 153 189 Robert Pearson** 
FULL 7/11/23, 27 Forrest Street, PINJARRA  WA 6208",
Pharmacy 777 Port Hedland,"PO Box 335, Point Hedland 6721
Shop 9 Boulevard SC
150 Anderson St",Port Hedland,9173 1350 ,9173 2707,porthedland@pharmacy777.com.au,M,B-N,B,V,D,,A,Mr Lee Ross,7 DAYS Mon-Sun 8-8,WA,6721,,Phone,"*Formerly Health Focus Pharmacy* 
**EMERGENCY USE ONLY (not be given to clients) - 0400 887 240 Lee**",
Port Kennedy Pharmacy,"Shop 8B,397 Warnbro Sound Ave",Port Kennedy,9524 6909,9524 6910,services@pkpharmacy.com.au,M,B-N,B,,,,,,"7 DAYS M-F 8-7 Sat 8-5 
Sun 8-4",WA,6172,Jadely Low,Phone,"Accept one-off dosing. 
**EMERGENCY USE ONLY (not be given to clients) - 0402 196 387 Jadely LOW**",
St Clair Pharmacy & News,"Shop 8, 49 Chelmsford Ave",Port Kennedy,9593 0299,9593 0806,stclairpharmacynews@hotmail.com,M,B-N,B,,,,,,"7 DAYS M-F 8-6 Sat 8-5 
Sun 9-5",WA,6172,George Salib,Phone,REFERRALS VIA CPP ONLY (1/1/2019),
Ravensthorpe Pharmacy,80 Morgans Street,Ravensthorpe,9838 1020,9838 1202,ravensthorpepharmacy@gmail.com,M,B-N,B,,,,,,"5 DAYS M, W, F 9.30-3.30
Tue, Thu 9.30-5",WA,6346,Ms Siearra Marina Ramli,Phone,**EMERGENCY USE ONLY (not be given to clients) - 0401 538 358 Siearra Cronin**,
Ravenswood Amcal Pharmacy,"Shop 3, 60 Lloyd Ave",Ravenswood,9537 6958 ,9537 6935,dispensary@ravenswoodpharmacy.com.au,M,B-N,,V,D,,A,"Mrs Quin Lee
Jeffery","6 DAYS M-F 8-5 
Sat 9-3",WA,6208,Mrs Quin Lee Jeffery,{Not Stated},*Accept One-off dosing*,
TerryWhite Chemmart Rivervale,118 Kooyong Road,Rivervale,9361 2244,9470 3460,info@rivervalechemmart.com.au,M,B-N,B,V,,,,,"6 DAYS M-F 8-6 
Sat 8-5",WA,6103,Karen Price-Patrick,Phone,"*Accept one-off dosing* 
EMERGENCY USE ONLY (not be given to clients) - 0403 485 999 Patrick or 
0417 917 730 Karen
Formerly *Rivervale Chemmart Pharmacy** ""Laurie Keys Chemmart Pharmacy"" ",
Infinity Pharmacy Rockingham,"Shop 213 Rockingham SC
1 Council Ave",Rockingham,9591 3288,9591 3088,rockingham@theinfinitygroup.net.au,,B-N,B,,,,,,"7 DAYS M-F 8-7 
Sat/Sun 8-6",WA,6168,Shaun Pulham,Phone,Formerly Wizard Pharmacy Rockingham,
Sonic Rockingham Pharmacy,24 Pedlar Circuit,Rockingham,9528 6610,9528 7076,sonicpharmacy@frednet.com.au,M,B-N,B,,,,,,5 DAYS M-F 8-4,WA,6168,Anna Bartlett,Phone,,
"Superchem Rockingham Beach 
Pharmacy","Lot 1 & Part Lot 6
Cnr Parkin St & Railway Tce",Rockingham,9527 1452,9527 4392,rockingham@superchem.com.au,M,B-N,B,V,D,,A,Fong Wong,7 DAYS +P/H 8-7.30,WA,6168,,Unknown,"**EMERGENCY USE ONLY (not be given to clients) - 0405 316 779 Alla AbuAbdu** 
*Accept One-off dosing*",
"TerryWhite Chemmart 
Rockingham Centre ","T131 Rockingham City SC,Read St",Rockingham,9527 3202,9527 3642,dispensary.rockingham@twcmgroup.com,M,B-N,B,V,D,,,,"7 DAYS M-F 8-8 Sat 8-6
Sun 10-6",WA,6168,Mitchell Coz,Email,*Formerly Terry White Chemists Rockingham City* ,
Roleystone Community Pharmacy,"Shop 15 Roleystone SC
21 Jarrah Rd",Roleystone,9397 5377,9397 6923,roleystonecommunitychemist@hotmail.com,M,B-N,B,,,BF,,,"7 DAYS M-F 8.30-6 
Sat 8.30-5 Sun 9-3",WA,6111,,Unknown,"**EMERGENCY USE ONLY (not be given to clients) - 0438 563 197 Stephen White or 
0421 467 417 Gary Toh** 
*Accept one-off dosing*",
Caring Pharmacy Malibu (Compounding Chemist),3/110 Malibu Road,Safety Bay,9527 7013,9527 7113,malibu@caringpharmacy.com.au,M,B-N,B,,,,,,"7 DAYS M-F 8-6 
Sat 8-5 Sun 8-1",WA,6169,James Yii,Phone,*Formerly Malibu Pharmacy*,
"Optimal Pharmacy Plus 
Scarborough",91 Scarborough Beach Road,Scarborough,9341 1756,9341 3419,oppsc@iinet.net.au,M,B-N,B,,,,,,7 DAYS 8-6,WA,6019,Mr Jason Murray,Unknown,*Formerly Post Office Pharmacy*,
Scarborough 7 Day Chemist,"Shop 3, 23 Scarborough Beach Rd",Scarborough,9245 1950,9245 3749,scarborough7daychemist@gmail.com,M,B-N,B,V,D,,A,Chirag Shah,7 DAYS 8-10pm,WA,6019,Mr Chirag Shah,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0402 705 490 Chirag SHAH** 
*Accept One-off dosing* Landline issues, please call Mobile 0402 705 490 (5 Nov 2019)",
Scarborough Beach Pharmacy,"Shop 11 Luna Maxi-Mart
241 West Coast Highway",Scarborough,9341 1133,9341 1131,scarboroughbeachpharmacy@gmail.com,M,B-N,B,V,D,,A,Chirag Shah,"7 DAYS M-Sat 8.30-7
Sat-Sun 9-5",WA,6019,Mr Chirag Shah,Phone,*Accept One-off dosing*,
Oasis Pharmacy,"Unit 1, Ground Floor
2 Clarkhill Rd","Secret 
Harbour",9501 9310,9501 9313,oasispharmacy.sh@gmail.com,M,B-N,,,,,,,"6 DAYS M-Fri 8.30-5.30
Sat 9-3",WA,6173,Mr David Pham,Phone,"*Accept one-off dosing* 
**EMERGENCY USE ONLY (not be given to clients) - 0403 153 337 David Pham** ",
Serpentine Pharmacy,"Lot 21, Unit 2, 26 Maxwell St",Serpentine,9525 3700,9525 3711,serpentinepharmacy@bigpond.com,M,B-N,B,,,BF,,,"6 DAYS M-F 8.30-5.30
Sat 8.30-1",WA,6125,Mr William Safar,{Not Stated},Mobile: 0401091921,
Shenton Pharmacy,214 Nicholson Road,Shenton Park,9381 1358,9380 6427,shenton.pharmacy@frednet.com.au,M,,,,,,,,"6 DAYS M-F 8.30-5.30
Sat 9-1",WA,6008,Aaron Ko,Unknown,,
Pharmacy 777 Shoalwater,"Sh 13 Shoalwater SC
117 Safety Bay Rd",Shoalwater,9528 7755,9528 7756,shoalwater@pharmacy777.com.au,M,B-N,B,,,,,,7 DAYS M-Sun 8-9,WA,6169,Ms Julie Ng,Unknown,"Not taking Depot Admin clients 23/5/24
*Accept One-off dosing* Formerly Shoalwater Pharmacy",
Pharmacy 777 Sorrento,"Seacrest Medical Centre
28 Seacrest Dr",Sorrento,9448 9299,9246 4256,Sorrento@pharmacy777.com.au,M,,,,,,,,"7 DAYS M-F 8-8 Sat 8-6 
Sun+P/H 8.30-6",WA,6020,Peata Wishart,Phone,"Formerly ""Friendlies Sorrento"", 'Seacrest Pharmacy' 11/08/20: Not taking patients",
"Greg's Discount Chemist 
South Fremantle","6 & 6a South Fremantle 
Market Place, 219 Hampton Rd","South 
Fremantle",9335 4344,9335 4355,southfreo@ppsportal.com.au,M,B-N,B,,,BF,,,"7 DAYS M-F 8-7 Sat 8-6 
Sun 11-5",WA,6162,Daniel Chew,Unknown,*Accept One-off dosing* Seeking new patients 10/07/20 Mob: 0401686088 ,
South Hedland Pharmacy,"Shop 22 Sth Hedland SC
Cnr Colebatch Way & Throssell Rd","South 
Hedland",9172 3899,9140 1089,shedlandpharmacy@westnet.com.au,M,B-N,,,,,,,"7 DAYS M-Sat 8-7 
Sun 9-5",WA,6722,Matt,Unknown,*Accept One-off dosing*,
"Optimal Pharmacy Plus 
Southlakes","Shop 16, Lakes SC, North Lake Rd",South Lake,9417 4119,9417 7536,oppsl@iinet.net.au,M,B-N,,,,,,,"7 DAYS M-F 8-7 Sat 8-5
Sun 11-5",WA,6164,Collin or Nao,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0487 933 930 Mark Bartels** 
*Formerly Nightingales Pharmacy South Lake*",
Pharmacy 777 South Lake,"Shop 3 Berrigan Quarter Community SC
49 Berrigan Dr",South Lake,9417 2788,9417 7011,southlake@pharmacy777.com.au,M,B-N,B,,,,,,7 Days 7-9 (Dosing 8-8),WA,6164,,{Not Stated},*Accept One-off dosing*,
TerryWhite Chemmart Yunderup,3/126 South Yunderup Road,"South 
Yunderup",9537 7011,9537 7022,yunderup@twcmgroup.com,M,B-N,B,,,BF,,,6 DAYS M-F 9-6 Sat 9-2,WA,6208,Guor Michar,{Not Stated},,
Pharmacy 777 Spearwood,7/223 Rockingham Rd,Spearwood,9418 6777,9418 7777,spearwood@pharmacy777.com.au,M,,B,,,,,,7 DAYS+P/H 7-8,WA,6163,Ms Wen Shyan Yap,Unknown,"*NO one-off clients* 
**EMERGENCY USE ONLY (not be given to clients) - 0433 776 512 Crystal Yap or 
0404 389 633 Eric Huong** 25/05/21: Full. ",
Phoenix Centre Pharmacy,"Shop 35 Phoenix SC
254 Rockingham Rd",Spearwood,9418 1548,9418 7220,phoenixcentrepharmacy@gmail.com,M,B-N,B,,,BF,,,"7 DAYS M-F 8-7 Sat 8-5 
Sun 11-5",WA,6163,Mark Langridge/Shane,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0404 263 555 Lukasz Ziola** 
*Accept One-off dosing*",
Botts Compounding Pharmacy,1098A Albany Highway,St James,9458 1515,9458 1545,info@bottspharmacy.com.au,M,B-N,B,,,,,,7 DAYS+P/H 8am-11pm,WA,6102,Trevor Leith/Andrew Cronin,Phone,"Approved for 100 clients.
**EMERGENCY USE ONLY (not be given to clients) - 0488 889 960 Trevor Leith** 
Formerly Botts Drive-In Pharmacy",
St James Newstart Pharmacy,16A & B Chapman Road,St James,9361 6101,9472 1764,info@sjnp.com.au,M,B-N,B,,,,,,7 DAYS 8-8,WA,6102,Joanne,Phone,**EMERGENCY USE ONLY (not be given to clients) - 0439 096 460 Joanne Abetz**,
St Francis Pharmacy,"Shop 19 Subiaco Square SC
29 Station St",Subiaco,9380 6711,9380 6722,enquiries@stfrancispharmacy.com.au,M,B-N,B,,,,,,"7 DAYS M-F 7-8 
Sat/Sun 7-7",WA,6008,Ms Kirsty Chew,Unknown,"Previously Subi-Square Pharmacy. Seeking new clients (11/01/19) 
All new clients to be discussed with Kirsty (owner) first",
Greenleaf Pharmacy Subiaco,145 Hay St,Subiaco,6370 2212,,subiaco@greenleaf.au,M,B-N,B,V,D,,A,"Jamie 
Bogoias",5 DAYS 8-6,WA,6008,Mr Jamie Bogoias,Phone,,
Cockburn Super Clinic Pharmacy,"Unit 2, 11 Wentworth Parade",Success,9414 3851,9414 3061,info@csclinicpharmacy.com.au,M,B-N,B,V,D,,A,Bob TIN,"6 DAYS M-F 8-8, Sat 9-5",WA,6164,Mr Bob J S Ng Cheong Tin,Phone,*Accept one-offs dosing*,
Priceline Pharmacy Gateways,"Shop 104, 816 Beeliar Drive",Success,9414 3375,9414 3379,gateways@theinfinitygroup.net.au,M,,,,,,,,"7 DAYS M-F 8-7 Sat 8-5
Sun 11-5",WA,6164,Mr Mark Connor,Phone,,
"Morrison Road Compounding 
Pharmacy","Shop 1 Darling Ridge SC
309 Morrison Rd",Swan View,9255 2660,9255 2669,mrdip@bigpond.com,M,B-N,B,,,,,,"7 DAYS M-F 8.30-7.30 
Sat 8.30-6.30
Sun 9.30-6.30",WA,6056,,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0419 922 460 John Lagana** 
Formerly ""Friendlies Chemists Swan View""",
Thornlie Square Pharmacy,"Shop 18, Thornlie Square SC
Cnr Spencer Rd & Thornlie Ave",Thornlie,9459 2611,9459 2187,thornliesqphy@gmail.com,M,B-N,B,V,D,,,,"7 DATS M-F 8.30-6
Sat 8.30-5 Sun 10-4",WA,6108,Jonathan Han,Phone,"Accept One-off dosing. *Approved to supply Buvidal to NS Thornlie 20/11/2020* **FAX line got issues due to NBN, please EMAIL script or call to check after fax**
 **EMERGENCY USE ONLY (not be given to clients) - 0416 855 190 Jonathan Han** Formerly Thornlie Square Soul Pattinson Chemist",
Sal's Pharmacy,106 Railway Road,Three Springs,9954 1994,9932 6122,salspharmacy@hotmail.com,M,B-N,B,,,,,,"5 DAYS M, Tue, Thu 9-5
Wed 4.15-5.15 Fri 9-3.30",WA,6519,Reshad Jahangeer,Email,*Not taking on clients 8/12/2020*,
Tom Price Pharmacy,PO Box 40,Tom Price,9189 1202,9189 2125,tompricepharmacy@gmail.com,M,B-N,,,,,,,"6 DAYS M-F 8.30-5.30 
Sat 9-2",WA,6751,,Unknown,"**EMERGENCY USE ONLY (not be given to clients) - 0430 362 339 Ben** 
*Accept One-off dosing* 
Shops 4 & 5 Tom Price Shopping Centre Jacaranda Drive, Tom Price WA 6751",
Trigg Medical Pharmacy,"Shop 4, 131 Lynn St",Trigg,9447 7314,9447 7314,triggmedicalpharmacy@gmail.com,M,B-N,B,,,,,,"6 DAYS M-F 9-6 
Sat 9-2",WA,6029,Yong Sim LEE,Phone,,
Amcal Tuart Hill,Shop 3 / 85 Wanneroo Road,Tuart Hill,9349 1065,9349 4241,dispensary.tuarthill@amcal.net.au,M,B-N,B,V,D,,A,"George
Kounis",7 DAYS 8-8,WA,6060,Michael Chesney,Phone,"Approved for 100 clients.
**EMERGENCY USE ONLY (not be given to clients) - 0407 981 062 Michael Chesney** 
Formerly Peter Cook Amcal Chemist",
Pharmacy 777 Dog Swamp,"Shop 4 Dog Swamp SC
6 Wanneroo Rd",Tuart Hill,9444 6325,9444 6327,dogswamp@pharmacy777.com.au,M,B-N,B,,,,,,7 DAYS 8-7,WA,6060,Ms Jovana Seat,Phone,"*Accept One-off dosing (provided script cfm with CPOP issuer) 
Seeking more clients 7/5/20 ",
Vasse Pharmacy,21 Napoleon Promenade,Vasse,9787 8800,9794 2597,vassepharmacy@gmail.com,M,B-N,B,,,,,,7 DAYS 8am-6pm,WA,6280,Ms Nadine Botha,Phone,"*Accept one-off dosing* 
**EMERGENCY USE ONLY (not be given to clients) - 0457 077 798 Nadine Botha**",
Wagin Pharmacy,52 Tudhoe St,Wagin,9861 1245,9861 2419,waginpharmacy@gmail.com,,,,,,,,,"6 DAYS M-F 8.30-5 
Sat 10-12",WA,6315,Shayan Hooshmand,Phone,,
Optimal Pharmacy Plus Waikiki,"Shop 9 Stargate SC
76 Charthouse Rd",Waikiki,9591 3199,9591 1433,oppw@westnet.com.au,M,B-N,,,,,,,7 DAYS Mon-Sun 8-8,WA,6169,Liberty,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0419 947 161 Liberty Dunstan** 
Formerly Guardian Pharmacy Warnbro",
TerryWhite Chemmart Waikiki ,"Shop 19 Waikiki Village SC
Cnr Read St & Gnangara Dr",Waikiki,9591 3011,9591 3022,Dispensary.waikiki@twcmgroup.com,M,B-N,B,,,,,,"7 DAYS M-F 8-7 Sat 8-5 
Sun 10-5",WA,6169,Michael Japp,Unknown,Formerly Waikiki Discount Drug Store,
Wangara Pharmacy,"Shop 9, 2 Prindiville Drive",Wangara,9200 4400,9200 4401,wangarapharmacy@outlook.com,M,B-N,B,,,,,,7 Days 7am-11 pm,WA,6065,Bassem Saad,Phone,"*Seeking more patients 19/03/21* *Accept One-off dosing* 
Formerly Friendlies Wangara* Mobile: 0418442445",
Amcal Pharmacy Wanneroo,"U1 & 2, 771 Wanneroo Rd",Wanneroo,9405 2229,9206 2229,dispensary@wanneroopharmacy.com,M,B-N,B,,,,,,6 DAYS M-Sat 8.30-5,WA,6065,Ms Li Chuen (Ellsy) Choo,Phone,Formerly ' Pharmacy 777 Wanneroo',
Drovers Pharmacy Wanneroo,"Shop 11, 1397 Wanneroo Rd",Wanneroo,9206 1545,9206 1954,wanneroo@droverspharmacy.com.au,M,B-N,B,,,,,,6 DAYS M-F 8-6 Sat 8-5,WA,6065,Christine Mwende,{Not Stated},"Accept one-off dosing. *Formerly Drovers Pharmacy* *Formerly Michael's Chemist Wanneroo*
**EMERGENCY USE ONLY (not be given to clients) - 0407 775 231 Tania Ncube** 
Formerly Drovers Health Pharmacy* Seeking clients 07/07/20 ",
TerryWhite Chemmart Warwick,"Shop 16 Warwick Grove
Cnr Beach & Erindale Rd",Warwick,9448 2900,9246 3138,dispense@twcwarwick.com.au,M,B-N,B,V,D,,A,"Gavin
Healy","7 DAYS M-F 8-8 Sat 8-6
Sun 10-6",WA,6024,Gavin Healy,Phone,"*Approved to supply Buvidal to NS Warwick 13/3/2020* 
Formerly Terry White Chemists Warwick and Warwick Amcal Chemist",
Wattle Grove Pharmacy,10 / 338 Hale Road,Wattle Grove,9359 2266,9453 1783,wattlegrove6cpa@gmail.com,M,B-N,B,,,,,,"6 DAYS M-F 8.30-7pm 
Sat 8.30-6pm",WA,6107,Soo Jin,Phone,,
Wizard Pharmacy Wellard,"Shop 17, 10 The Strand, Wellard Square",Wellard,9419 2900,9501 9292,pm.wellard1@wizardphy.com.au,M,B-N,B,V,D,,A,Mario Atmaja,7 DAYS M-F 8-7 Sat 9-5 Sun 11-5,WA,6170,Mario Atmaja,Phone,Buvidal admin M-F 10-4 only,
Pharmacy 777 Wembley,274 Cambridge Street,Wembley,9387 3984,9387 4000,wembley@pharmacy777.com.au,M,B-N,,,,,,,7 DAYS M-Sun 8-8,WA,6014,Jessica Figg/Trupti Gohil,Phone,,
Wembley Pharmacy,361 Cambridge Street,Wembley,9387 3079,9387 4014,wembley@pharmacyalliance.net,M,B-N,B,,,,,,7 DAYS+P/H 8-10,WA,6014,,Unknown,"*Accept one-off dosing* 
**EMERGENCY USE ONLY (not be given to clients) - 0407 427 669 Navid Namdar**",
"TerryWhite Chemmart Wembley 
Downs","Shop 2-3 Wembley Downs SC
11 Bournemouth Crescent","Wembley 
Downs",9341 3404,9245 1647,"wembleydowns@
terrywhitechemmart.com.au",M,B-N,B,,,,,,"7 DAYS M-F 8-7 
Sat/Sun 8-6",WA,6019,Henry Gulev,Phone,*Formerly The Downs Chemmart*,
"Terry White Chemmart West 
Leederville","Unit 1 West Leederville Ctr
115 Cambridge St","West 
Leederville",9381 5087,9381 3027,westleederville@terrywhitechemmart.com.au,M,B-N,,,,,,,"7 DAYS M-F 8-7 Sat 8.30-5
 Sun 11-5",WA,6007,Mr Eric Chim,Phone,Formerly 'West Leederville Soul Pattinson Chemist',
Wickham Pharmacy,"Shop 4 Wickham CC, Mulga Way",Wickham,9187 0708,9187 0708,wickhampharmacy@hotmail.com,M,B-N,B,,,BF,,,6 DAYS M-Sat 9-5.30,WA,6720,Mrs Teresa Tan,{Not Stated},28/01/21 Fax unreliable. Please only use email,
Pharmacy 777 Willagee,1/60 Archibald Street,Willagee,9337 2718,9331 2201,willagee@pharmacy777.com.au,M,B-N,,,,,,,"7 DAYS M-F 8-7 Sat 8-5 
Sun 9-2",WA,6156,Kim Dethlefsen,Unknown,"**EMERGENCY USE ONLY (not be given to clients) - 0406 688 936 Kim Dethlefsen** 
Formerly ""Amcal Chemist Willagee"" Formerly ""Friendlies Chemists Willagee""",
Pharmacy 777 Willetton,"Shop 10 Burrendah SC
61 Apsley Rd",Willetton,9457 1777,9457 1589,Willetton@pharmacy777.com.au,M,B-N,B,,,,,,7 DAYS 7am-8pm,WA,6155,Ms Hua Ying Cheong,Unknown,"**EMERGENCY USE ONLY (not be given to clients) - 0402 483 995 David Biancuzzo* 
No referrals as of 1/1/19",
Wizard Pharmacy Willetton,"Shop 3 Riverton SC, 189 High Rd",Willetton,9457 3467,9354 7031,pm.willetton1@wizardphy.com.au,M,B-N,B,,,,,,"7 DAYS M-F 8.30-7 
Sat 8.30-5 Sun 9-5",WA,6155,Nadia Jillian Dyson,Unknown,"Formerly ""Terry White Chemmart Willetton"" Formerly ""Willetton Chemmart Pharmacy""",
Williams Pharmacy,34 Albany Highway,Williams,9865 9101,9865 9101 ,williams.pharmacy@yahoo.com,M,B-N,B,,,,,,"6 Days M-F 9-5
Sat 9-12.30",WA,6391,Ms Georgia Porter,Phone,**EMERGENCY USE ONLY (not be given to clients) - 0455 352 800 Swee Ping PANG*,
Wongan Hills Pharmacy,19 Elphin Cres,Wongan Hills,9671 1157,9671 1957,wonganhillschemist@gmail.com,M,B-N,B,,,BF,,,"6 DAYS M-F 9-5.30 
Sat 9-12.30 ",WA,6603,Mr John Cao,Phone,,
Woodvale Pharmacy,"Shop 12, 153 Trappers Dr",Woodvale,9309 2601,9309 2528,woodvalephcy@gmail.com,M,B-N,B,,,BF,,,"7 DAYS M-F 8-6.30 
Sat 8-4 Sun 11-5",WA,6026,Mr Quoc Khanh Nguyen,Phone,**EMERGENCY USE ONLY (not be given to clients) - 0412 078 474 Khanh NGUYEN**,
Acacia Prison Medical Services,Great Eastern Highway,Wooroloo,9573 3300,,,M,B-N,B,V,,,,,,WA,6558,,,,
Pharmacy 777 Yanchep,"T16/18 Yanchep Central SC
1 & 2 Peony Boulevard",Yanchep,6244 8517,6244 8537,yanchep@pharmacy777.com.au,M,B-N,B,,,,,,"7 DAYS M-F 8-8 Sat 8-5 
Sun 11-5",WA,6035,Mun Kiat CHAN,Phone,*Accept one-off dosing*,
Yanchep Community Pharmacy,"Shop 3 The Village, 5 Village Row",Yanchep,9561 2888,9561 2899,yancheppharmacy@bigpond.com,M,B-N,B,V,D,,A,"Paul 
Drake-Brockman"," 7 DAYS M-F 8-8 
SAT 8-5.30 SUN 9-5
Depot Admin M-F 10-5 talk to Paul",WA,6035,Mr Paul Drake-Brockman,Phone,"**EMERGENCY USE ONLY (not be given to clients) - 0423 037 666 Michael Hainsworth** 
Formerly ""Yanchep Pharmacy""",
Caring Pharmacy Yangebup,"Shop 12 Lakelands C
31 Moorhen Rd",Yangebup,9417 1108,9417 2649,yangebup@caringpharmacy.com.au,M,B-N,B,,,,,,"7 DAYS M-F 8-6 Sat 8-5 
Sun P/H 9-2",WA,6164,Mr Harshand Varsani,Unknown,"*Accept one-off dosing* 
**EMERGENCY USE ONLY (not be given to clients) - 0406 659 182 Ashley Zhang** 
Formerly ""Yangebup Community Pharmacy"" Formerly 'Friendlies Chemist Yangebup'",
